iter	Passed	Remaining
844	2418	443
845	2420	440
846	2423	437
847	2425	434
848	2428	431
849	2431	429
850	2433	426
851	2436	423
852	2439	420
853	2441	417
854	2444	414
855	2446	411
856	2449	408
857	2452	405
858	2454	402
859	2457	400
860	2459	397
861	2462	394
862	2464	391
863	2467	388
864	2470	385
865	2472	382
866	2475	379
867	2477	376
868	2480	373
869	2482	370
870	2485	368
871	2488	365
872	2490	362
873	2493	359
874	2496	356
875	2498	353
876	2501	350
877	2504	347
878	2506	345
879	2509	342
880	2511	339
881	2514	336
882	2517	333
883	2520	330
884	2523	327
885	2525	324
886	2528	322
887	2530	319
888	2533	316
889	2536	313
890	2538	310
891	2541	307
892	2544	304
893	2546	301
894	2549	299
895	2552	296
896	2554	293
897	2557	290
898	2560	287
899	2562	284
900	2565	281
901	2567	278
902	2570	276
903	2572	273
904	2575	270
905	2578	267
906	2580	264
907	2583	261
908	2585	258
909	2588	255
910	2591	253
911	2594	250
912	2597	247
913	2599	244
914	2602	241
915	2605	238
916	2608	236
917	2611	233
918	2614	230
919	2616	227
920	2619	224
921	2622	221
922	2625	218
923	2627	216
924	2630	213
925	2632	210
926	2635	207
927	2638	204
928	2641	201
929	2644	199
930	2646	196
931	2649	193
932	2652	190
933	2655	187
934	2657	184
935	2660	181
936	2663	179
937	2666	176
938	2669	173
939	2671	170
940	2674	167
941	2677	164
942	2679	161
943	2683	159
944	2686	156
945	2688	153
946	2691	150
947	2694	147
948	2697	144
949	2700	142
950	2702	139
951	2705	136
952	2708	133
953	2710	130
954	2713	127
955	2716	125
956	2718	122
957	2721	119
958	2724	116
959	2727	113
960	2730	110
961	2733	107
962	2736	105
963	2739	102
964	2742	99
965	2745	96
966	2748	93
967	2751	90
968	2753	88
969	2756	85
970	2759	82
971	2762	79
972	2765	76
973	2768	73
974	2770	71
975	2773	68
976	2776	65
977	2779	62
978	2782	59
979	2784	56
980	2787	53
981	2790	51
982	2792	48
983	2795	45
984	2798	42
985	2800	39
986	2803	36
987	2806	34
988	2809	31
989	2813	28
990	2816	25
991	2819	22
992	2821	19
993	2825	17
994	2828	14
995	2831	11
996	2834	8
997	2837	5
998	2840	2
999	2843	0
